ts,metric,endpoint,symbol,interval,value,source
2024-12-14 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,1148.1455547658973,synthetic-test
2024-12-15 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,2073.786731884641,synthetic-test
2024-12-16 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,2991.561730155609,synthetic-test
2024-12-17 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,4011.7923493387284,synthetic-test
2024-12-18 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,5096.230868387261,synthetic-test
2024-12-19 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,6097.373473943327,synthetic-test
2024-12-20 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,7230.269532987026,synthetic-test
2024-12-21 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,8315.948931243678,synthetic-test
2024-12-22 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,9400.130937932685,synthetic-test
2024-12-23 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,10455.542588065095,synthetic-test
2024-12-24 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,11688.307898099703,synthetic-test
2024-12-25 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,12667.791729213099,synthetic-test
2024-12-26 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,13467.439500006447,synthetic-test
2024-12-27 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,14627.864936158161,synthetic-test
2024-12-28 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,15582.09499306248,synthetic-test
2024-12-29 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,16592.883037496784,synthetic-test
2024-12-30 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,17723.838105982835,synthetic-test
2024-12-31 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,18563.612151876943,synthetic-test
2025-01-01 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,19438.44743046633,synthetic-test
2025-01-02 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,20278.319636754444,synthetic-test
2025-01-03 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,21198.906007751903,synthetic-test
2025-01-04 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,22242.869668353604,synthetic-test
2025-01-05 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,23295.28845263488,synthetic-test
2025-01-06 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,24322.915870567733,synthetic-test
2025-01-07 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,25181.639282178498,synthetic-test
2025-01-08 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,25950.628938515234,synthetic-test
2025-01-09 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,26956.064297054272,synthetic-test
2025-01-10 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,27908.886693690438,synthetic-test
2025-01-11 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,28954.8252708621,synthetic-test
2025-01-12 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,30025.020633484226,synthetic-test
2025-01-13 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,31038.844776690094,synthetic-test
2025-01-14 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,32114.85808522768,synthetic-test
2025-01-15 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,33137.77922263918,synthetic-test
2025-01-16 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,34190.78569319933,synthetic-test
2025-01-17 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,35120.31836691234,synthetic-test
2025-01-18 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,36102.357225529195,synthetic-test
2025-01-19 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,37122.03483519489,synthetic-test
2025-01-20 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,38204.08768273664,synthetic-test
2025-01-21 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,39164.71356551418,synthetic-test
2025-01-22 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,40216.8302910874,synthetic-test
2025-01-23 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,41190.24641189586,synthetic-test
2025-01-24 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,42178.492195163046,synthetic-test
2025-01-25 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,43261.44409936545,synthetic-test
2025-01-26 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,44062.13806226003,synthetic-test
2025-01-27 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,44932.49082945256,synthetic-test
2025-01-28 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,45784.27228970828,synthetic-test
2025-01-29 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,46550.91067772345,synthetic-test
2025-01-30 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,47483.08423370793,synthetic-test
2025-01-31 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,48558.027623680704,synthetic-test
2025-02-01 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,49529.539217042446,synthetic-test
2025-02-02 00:00:00+00:00,exchange_netflow,btc-exchange-netflow,btc,day,50549.31822523663,synthetic-test
