ts,metric,endpoint,symbol,interval,value,source
2024-12-14 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,1030.4717079754432,synthetic-test
2024-12-15 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,1926.4732973513937,synthetic-test
2024-12-16 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,3001.518416932039,synthetic-test
2024-12-17 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,4095.5748885711605,synthetic-test
2024-12-18 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,4900.471369705777,synthetic-test
2024-12-19 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,5770.253419019545,synthetic-test
2024-12-20 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,6783.037459336273,synthetic-test
2024-12-21 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,7751.413200101915,synthetic-test
2024-12-22 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,8749.733084351486,synthetic-test
2024-12-23 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,9664.428691594128,synthetic-test
2024-12-24 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,10752.36848908041,synthetic-test
2024-12-25 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,11830.147682623305,synthetic-test
2024-12-26 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,12836.750752379427,synthetic-test
2024-12-27 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,13949.47487307623,synthetic-test
2024-12-28 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,14996.225807301435,synthetic-test
2024-12-29 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,15910.29656101311,synthetic-test
2024-12-30 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,16947.17163942136,synthetic-test
2024-12-31 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,17851.283379338463,synthetic-test
2025-01-01 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,18939.12840946919,synthetic-test
2025-01-02 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,19934.135818370567,synthetic-test
2025-01-03 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,20915.64958201604,synthetic-test
2025-01-04 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,21847.556627575646,synthetic-test
2025-01-05 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,22969.81076144305,synthetic-test
2025-01-06 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,23954.35781323617,synthetic-test
2025-01-07 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,24911.525031019857,synthetic-test
2025-01-08 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,25876.311675971036,synthetic-test
2025-01-09 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,26929.54259452637,synthetic-test
2025-01-10 00:00:00+00:00,exchange_reserve,btc-exchange-reserve,btc,day,27966.08700096278,synthetic-test
