ts,metric,endpoint,symbol,interval,value,source
2024-12-14 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,1122.629295564895,synthetic-test
2024-12-15 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,2280.5478458630582,synthetic-test
2024-12-16 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,3330.0035113953436,synthetic-test
2024-12-17 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,4427.369862529753,synthetic-test
2024-12-18 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,5551.565862211134,synthetic-test
2024-12-19 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,6664.575793851585,synthetic-test
2024-12-20 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,7725.985711562847,synthetic-test
2024-12-21 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,8785.820416270335,synthetic-test
2024-12-22 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,9837.786473604985,synthetic-test
2024-12-23 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,10728.05270615028,synthetic-test
2024-12-24 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,11798.125021836238,synthetic-test
2024-12-25 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,12662.543624723583,synthetic-test
2024-12-26 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,13583.083679211077,synthetic-test
2024-12-27 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,14713.440185991885,synthetic-test
2024-12-28 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,15797.462202261306,synthetic-test
2024-12-29 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,16946.202031229892,synthetic-test
2024-12-30 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,17919.034592861164,synthetic-test
2024-12-31 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,18803.809708733486,synthetic-test
2025-01-01 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,19779.76598902645,synthetic-test
2025-01-02 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,20789.96911875051,synthetic-test
2025-01-03 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,21797.86799038451,synthetic-test
2025-01-04 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,22911.23603826018,synthetic-test
2025-01-05 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,23875.108995759834,synthetic-test
2025-01-06 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,24910.312442940125,synthetic-test
2025-01-07 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,25811.449727996664,synthetic-test
2025-01-08 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,26856.481455801044,synthetic-test
2025-01-09 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,27856.79231081961,synthetic-test
2025-01-10 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,28781.810976991157,synthetic-test
2025-01-11 00:00:00+00:00,miner_flow,btc-miners-outflow,btc,day,29758.228040773673,synthetic-test
