ts,metric,endpoint,symbol,interval,value,source
2024-12-14 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,1044.781371672271,synthetic-test
2024-12-15 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,2050.608804765816,synthetic-test
2024-12-16 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,3105.4826866522285,synthetic-test
2024-12-17 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,4086.7155875593835,synthetic-test
2024-12-18 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,5114.529960204846,synthetic-test
2024-12-19 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,6130.341868695357,synthetic-test
2024-12-20 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,7208.11860760385,synthetic-test
2024-12-21 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,8288.819435798297,synthetic-test
2024-12-22 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,9126.832236359121,synthetic-test
2024-12-23 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,9902.105380825036,synthetic-test
2024-12-24 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,11002.279920590187,synthetic-test
2024-12-25 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,12121.05242991638,synthetic-test
2024-12-26 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,13018.990127965048,synthetic-test
2024-12-27 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,13833.006587310485,synthetic-test
2024-12-28 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,14842.910069411206,synthetic-test
2024-12-29 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,15935.99389204626,synthetic-test
2024-12-30 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,17115.75334428969,synthetic-test
2024-12-31 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,18167.383101499836,synthetic-test
2025-01-01 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,19130.211431841268,synthetic-test
2025-01-02 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,20040.89836968278,synthetic-test
2025-01-03 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,21042.043498849845,synthetic-test
2025-01-04 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,22012.117028461318,synthetic-test
2025-01-05 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,22910.610237888435,synthetic-test
2025-01-06 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,24115.485802974763,synthetic-test
2025-01-07 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,25294.002643181975,synthetic-test
2025-01-08 00:00:00+00:00,stablecoin_reserve,stablecoin-total-exchange-reserve,btc,day,26407.607511537517,synthetic-test
