ts,metric,endpoint,symbol,interval,value,source
2024-12-14 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,1096.2960573249447,synthetic-test
2024-12-15 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,2023.8349521731723,synthetic-test
2024-12-16 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,2938.459029914431,synthetic-test
2024-12-17 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,3984.42962541593,synthetic-test
2024-12-18 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,5083.284949662461,synthetic-test
2024-12-19 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,6087.310599862508,synthetic-test
2024-12-20 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,6958.671266354138,synthetic-test
2024-12-21 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,7822.645429725206,synthetic-test
2024-12-22 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,8679.931789506581,synthetic-test
2024-12-23 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,9503.169578212643,synthetic-test
2024-12-24 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,10514.11811415735,synthetic-test
2024-12-25 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,11626.622506328153,synthetic-test
2024-12-26 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,12625.280927635671,synthetic-test
2024-12-27 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,13399.239451901885,synthetic-test
2024-12-28 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,14380.16340586843,synthetic-test
2024-12-29 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,15363.88350620517,synthetic-test
2024-12-30 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,16573.483381227714,synthetic-test
2024-12-31 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,17427.769589935757,synthetic-test
2025-01-01 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,18388.701829675836,synthetic-test
2025-01-02 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,19559.287097730292,synthetic-test
2025-01-03 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,20604.284931864946,synthetic-test
2025-01-04 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,21660.61623921659,synthetic-test
2025-01-05 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,22672.074682918977,synthetic-test
2025-01-06 00:00:00+00:00,whale_count,btc-whale-address-count,btc,day,23705.069036784706,synthetic-test
